ID,Választókerület,jobbik,no_votes18
2018_55,Bács-Kiskun megye 1. számú egyéni választókerület,11231,46798
2018_56,Bács-Kiskun megye 2. számú egyéni választókerület,10001,50612
2018_19,Baranya megye 1. számú egyéni választókerület,7887,56003
2018_20,Baranya megye 2. számú egyéni választókerület,11858,53525
2018_23,Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,20597,53195
2018_24,Borsod-Abaúj-Zemplén megye 2. számú egyéni választókerület,14427,51067
2018_1,Budapest 1. számú egyéni választókerület,3060,47910
2018_10,Budapest 10. számú egyéni választókerület,6070,56110
2018_11,Budapest 11. számú egyéni választókerület,5826,56956
2018_12,Budapest 12. számú egyéni választókerület,5640,54937
2018_13,Budapest 13. számú egyéni választókerület,5086,55667
2018_14,Budapest 14. számú egyéni választókerület,7536,57775
2018_16,Budapest 16. számú egyéni választókerület,6373,52211
2018_18,Budapest 18. számú egyéni választókerület,5525,60276
2018_2,Budapest 2. számú egyéni választókerület,3252,55506
2018_3,Budapest 3. számú egyéni választókerület,3142,54257
2018_4,Budapest 4. számú egyéni választókerület,3585,57886
2018_5,Budapest 5. számú egyéni választókerület,3171,44925
2018_6,Budapest 6. számú egyéni választókerület,6001,46456
2018_7,Budapest 7. számú egyéni választókerület,3591,59161
2018_8,Budapest 8. számú egyéni választókerület,4492,58724
2018_9,Budapest 9. számú egyéni választókerület,5437,53976
2018_27,Csongrád megye 1. számú egyéni választókerület,6501,58960
2018_28,Csongrád megye 2. számú egyéni választókerület,6970,61280
2018_29,Fejér megye 1. számú egyéni választókerület,6599,47562
2018_68,Fejér megye 2. számú egyéni választókerület,14652,50752
2018_71,Győr-Moson-Sopron megye 1. számú egyéni választókerület,8448,48827
2018_72,Győr-Moson-Sopron megye 2. számú egyéni választókerület,10046,52291
2018_31,Hajdú-Bihar megye 1. számú egyéni választókerület,7531,49498
2018_76,Hajdú-Bihar megye 2. számú egyéni választókerület,12723,50067
2018_77,Hajdú-Bihar megye 3. számú egyéni választókerület,12249,48109
2018_48,Szabolcs-Szatmár-Bereg megye 1. számú egyéni választókerület,10372,53989
2018_49,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,16393,46768