oevk,szekhely,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP
Baranya megye 1. számú egyéni választókerület,Pécs,74465,52327,51597,70.27,69.29,Kõvári János,Mellár Tamás,Nagy Richárd,Palkó Ádám,Sugár György,Hirth József,Varga Tamás,Bognár Szilvia,,Budai Richárd,,,,,21557,22710,2103,422,114,391,2779,1521,,,,,,,51717,69.45,23401,474,2512,516,2852,21373
Baranya megye 2. számú egyéni választókerület,Pécs,76693,52392,51556,68.31,67.22,Hoppál Péter,Szakács László,Martos Csongor,Juhász Gábor,Szilágyi László,Árvainé Behán Zsuzsanna,Ipacs Sándor,Csonka János,,,,,,,22898,21226,2099,635,489,543,2829,,,,,,,,51580,67.26,21513,563,2279,516,3094,22913
Baranya megye 3. számú egyéni választókerület,Mohács,70815,47422,46613,66.97,65.82,Hargitai János,Schwarcz-Kiefer Patrik,Pincehelyi Zita,Döbrei István,Kós Zoltán,Husz Csaba,Bernáth Csilla,,,Kóródiné Sárközi Rita,,,,,28172,13954,,826,213,,3448,,,,,,,,46543,65.72,12448,321,1023,428,3081,25340
Baranya megye 4. számú egyéni választókerület,Szigetvár,75794,48961,48140,64.6,63.51,Nagy Csaba,Szarkándi Lajosné,Molnár-Fulmer Gergely,Vig Aurél,,Hermesz Tamás,Ács József,Kárpáti Zoltán,,Gál József,,,,,29403,13835,1215,352,,,2575,760,,0,,,,,48380,63.83,14149,342,1205,385,2730,28830
Bács-Kiskun megye 1. számú egyéni választókerület,Kecskemét,69101,47068,46462,68.11,67.24,Salacz László,Szõkéné Kopping Rita,Kordik Szabolcs,Varga László,,Ábrahám Attiláné,Erõs Erzsébet,Riczu Norbert,,,,,,,27420,13464,1691,,,462,3425,,,,,,,,46559,67.38,13466,432,1680,409,3389,27159
Bács-Kiskun megye 2. számú egyéni választókerület,Kecskemét,71933,50963,50197,70.85,69.78,Szeberényi Gyula,Bodrozsán Alexandra,Karikó Ágnes,Somodi Károly,,Sánta László,Faragó Dániel,,,,,,,,26606,17208,2274,,,597,3512,,,,,,,,50413,70.08,17307,537,2199,500,3398,26442
Bács-Kiskun megye 3. számú egyéni választókerület,Kalocsa,65242,45135,44540,69.18,68.27,Font Sándor,Magóné Tóth Gyöngyi,Nagy Szabina,Kudron-Tonigold Nándor,,Tara Lajos,Szabó Patrik,,,,,,,,26592,13464,,1311,,395,2778,,,,,,,,44575,68.32,13387,378,1022,562,2832,26022
Bács-Kiskun megye 4. számú egyéni választókerület,Kiskunfélegyháza,71615,48039,47382,67.08,66.16,Lezsák Sándor,Kis-Szeniczey Kálmán,Farkas Bence,Koncz Dóra,Tarr Erika,Kovács Márta,Balde Gyula,,,,,,,,29835,11727,1529,864,,,3427,,,,,,,,47491,66.31,12032,346,1413,602,3792,29297
Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,68267,43458,42827,63.66,62.73,Bányai Gábor,Molnár László,Börcsök Bálint,Fehérvári Dóra,Czupor Attila,Rékasi Mihály,Szabadi István,,,,,,,,25763,12218,,641,,,4205,,,,,,,,42920,62.87,12201,265,1158,375,4075,24372
Bács-Kiskun megye 6. számú egyéni választókerület,Baja,64619,42458,41871,65.71,64.8,Zsigó Róbert,Kiss László,Garami Artúr,Almási Terézia,Berekai Judit,Gyurin Márk,Éberling Balázs,,,,,,,,23976,13697,827,354,,,3017,,,,,,,,41944,64.91,12848,250,962,320,3285,23506
Békés megye 1. számú egyéni választókerület,Békéscsaba,68522,48255,47487,70.42,69.3,Herczeg Tamás,Stummer János,Debreczeni Gergõ,Szegedi Éva,,Szekerczés András,Gyebnár Dávid,Csurár Ibolya,,,,,,,22920,19019,1142,436,,391,3167,154,,,,,,,47416,69.2,18350,502,1470,539,3728,22551
Békés megye 2. számú egyéni választókerület,Békés,69176,45224,44558,65.38,64.41,Dankó Béla,Kondé Gábor,Papp Ákos,Takács Ádám,,Bódizs István,Földesi Mihály,,,,,,,,25716,13086,1090,462,,331,3873,,,,,,,,44705,64.63,13114,413,1229,460,3666,25500
Békés megye 3. számú egyéni választókerület,Gyula,67685,44757,44157,66.13,65.24,Kovács József,Leel-Õssy Gábor,Molnár Lajos Csanád,Pomuczné Nagy Ildikó,Ujj György,Bódizs-Darvasi Dzsenifer,Vidó Attila,,,,,,,,24623,14982,828,541,163,236,2784,,,,,,,,44162,65.25,14348,348,1000,389,3047,24620
Békés megye 4. számú egyéni választókerület,Orosháza,71541,45750,44923,63.95,62.79,Erdõs Norbert,Szabó Ervin,Bódai Dávid,Szabó György,Gál Ferenc,Havasi Gyula,Schultz Gábor,Boros Csaba,,,,,,,22379,17821,915,200,144,214,2631,619,,,,,,,45079,63.01,16512,350,1059,280,3413,23114
Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,Miskolc,72579,50030,49416,68.93,68.09,Csöbör Katalin,Szilágyi Szabolcs,Pásti Gabriella,Halmi Bence,Kilián Béla,Loukota Zoltánné,Duzsik István,Jónás Béla,,Lakatos Gusztáv,,,,,22978,20442,1289,1016,129,296,3266,,,,,,,,49555,68.28,20710,363,1412,688,3141,23178
Borsod-Abaúj-Zemplén megye 2. számú egyéni választókerület,Miskolc,71302,47536,46984,66.67,65.89,Kiss János,Varga László,Kiss Gábor,Simkó István,Fülöp József,Szekeres Anita,Pakusza Zoltán,Farkas Vince,,,,,,,20602,20110,1278,551,157,309,3977,,,,,,,,47037,65.97,20031,357,1515,570,3417,21045
Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,70559,40970,40194,58.06,56.97,Riz Gábor,Kiss Sándor,Gyurgyák Tamás,Lenkó Orsolya,Pap Ferenc,Zsidek István,Szarvas Gábor,Vilcsek Ernõ,,Bari Zoltánné,,,Dániel Anna,,23686,10884,548,222,167,177,2389,2121,,,,,,,40301,57.12,11554,337,659,259,2874,24538
Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,74214,46060,45293,62.06,61.03,Demeter Zoltán,Üveges Gábor,Galán Máté,Endre László,Menyhért Roland,Petõ Krisztián,Fiszter Zsuzsanna,,,Kótai Gyula,Szántó Szabolcs,,,,24636,15648,856,256,92,252,3276,,,69,208,,,,45433,61.22,15205,352,1013,338,3374,25028
Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,73338,45998,45106,62.72,61.5,Hörcsik Richárd,Erdei Sándor,Vincze Tamás,Ornyik Róbert,Glonci Béla,Varga Zoltán,Pasztorniczky István,Balogh Róbert,,Jónás Erika,,,,,27335,13526,736,257,83,206,2614,169,,,,,,,45360,61.85,13076,277,774,321,2599,27659
Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,76032,51084,50405,67.19,66.29,Koncz Zsófia,Jézsó Gábor,Boros József,Veszprémi Ádám,Papp György,Molnár Sándor,Miklós Árpád,Macskás József,,,,,,,29737,18618,,558,237,523,,732,,,,,,,50521,66.45,16958,452,1029,487,3075,28435
Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mezõkövesd,75515,50420,49498,66.77,65.55,Tállai András,Sermer Ádám,Blau Sándor,Kertész Gyula,Kóródi Péter,Kovács László,Szajlai János,Farkas Éva,,Dósa Csaba,,,,,29907,13343,1000,592,103,335,3721,177,,,,,,,49638,65.73,14874,426,1166,595,4108,28386
Csongrád megye 1. számú egyéni választókerület,Szeged,80527,56077,55432,69.64,68.84,Bartók Csaba,Szabó Sándor,Nagy Ferenc,Veszelinov Annamária,Várkonyi Zoltán,Budai Gabriella,Lékó Julianna,Szabó Bálint,,,,,,,20159,27443,2163,1006,,376,3162,1123,,,,,,,55551,68.98,26674,483,2629,816,3472,21404
Csongrád megye 2. számú egyéni választókerület,Szeged,86558,61622,60759,71.19,70.19,Mihálffy Béla,Mihálik Edvin,Tóth-Benedek Csanád,Gonda Benjamin,Dobos László,Lévainé Dr. Kovács Marian,Toroczkai László,,,,,,,,27516,24443,1845,734,,453,5768,,,,,,,,60958,70.42,24285,419,2530,679,4756,28222
Csongrád megye 3. számú egyéni választókerület,Szentes,80170,54742,54040,68.28,67.41,Farkas Sándor,Szûcs Ildikó,,Üveges Hajnalka,,Kemény Róbert,Laczkó Zsolt,Köröndi Máté,,,,,,,29582,16947,,755,,,5313,1443,,,,,,,54204,67.61,17314,362,1614,550,4582,29772
Csongrád megye 4. számú egyéni választókerület,Hódmezõvásárhely,77415,56338,55545,72.77,71.75,Dr. Lázár János,Márki-Zay Péter,Kis József,Szabó Zoltán,Kovács István,,Veres Csaba,,,,,,,,28753,22328,944,463,119,,2938,,,,,,,,55594,71.81,21544,356,1397,439,3810,27953
Fejér megye 1. számú egyéni választókerület,Székesfehérvár,60023,45879,45424,76.44,75.68,Vargha Tamás,Márton Roland,Fenekes Roland,Balogh Benedek,,Göde Imre,Végh Annamária,,,,,,,,21546,18994,1637,591,,319,2337,,,,,,,,45468,75.75,18528,343,2060,599,2545,21304
Fejér megye 2. számú egyéni választókerület,Székesfehérvár,70183,51245,50666,73.02,72.19,Törõ Gábor,Fazakas Attila,Varga Eszter,Huszti Mária,Veres Péter,Fogarasi Márta,Schmidt Roland,,,,,,,,28380,15219,1860,449,116,489,4153,,,,,,,,50703,72.24,15223,435,1845,508,4257,28021
Fejér megye 3. számú egyéni választókerület,Bicske,76732,57441,56715,74.86,73.91,Tessely Zoltán,Balázs Péter,Mészáros László,Könyves Tamás,Fléger István,Zeke Zoltán,Hegedüs Pál,,,,,,,,32520,18092,1944,854,137,,3168,,,,,,,,56787,74.01,18159,306,2225,754,3285,31305
Fejér megye 4. számú egyéni választókerület,Dunaújváros,65896,45117,44536,68.47,67.59,Mészáros Lajos,Kálló Gergely,Pozsgai Anita,Hermann Henrik,Fehérvári Zsolt,Kohl János,Badó Péter,,,,,,,,20562,19509,1194,669,97,286,2219,,,,,,,,44661,67.77,18851,375,1305,583,2758,20663
Fejér megye 5. számú egyéni választókerület,Sárbogárd,67210,43292,42804,64.41,63.69,Varga Gábor,Kertész Éva,Spala Gábor,Lakatos Krisztián,,Kovács János,Gieber Lajos,,,Simon Antal,,,,,27629,10441,969,289,,457,3019,,,,,,,,42895,63.82,10535,364,1022,321,3083,27512
Győr-Moson-Sopron megye 1. számú egyéni választókerület,Gyõr,66579,48434,47940,72.75,72,Simon Róbert,Jancsó Zita,Kovács Balázs,Szilágyi Norbert,,Lelkes Gyõzõ,Bálint Csaba,,,,,,Oratovszky Andrea,,24182,18356,1692,1079,,,2631,,,,,,,,47991,72.08,18436,326,1812,754,2705,23879
Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gyõr,73057,53299,52655,72.96,72.07,Kara Ákos,Gasztonyi László,Gyõrvári Gábor,Szemes Norbert,,Szöllõsi Sándor,Szabó Róbert,Mészáros Géza,,,,,,,31661,16517,,861,,402,3214,,,,,,,,52806,72.28,16353,426,1749,726,3664,29848
Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,66713,49916,49308,74.82,73.91,Gyopáros Alpár,Kovácsné Varga Ildikó,,Pércsi Donát,,Áder Balázs,Ferencz Tamás Gergõ,,,,,Szabadai Viktor,,,35119,10592,,650,,,2795,,,,,152,,,49426,74.09,11071,253,1250,540,2963,33286
Győr-Moson-Sopron megye 4. számú egyéni választókerület,Sopron,75464,57263,56482,75.88,74.85,Barcza Attila,Brenner Koloman,Garab Gergely,Sala Zoltán,,Lukácsy Péter,Horváth Gábor,,,,,,,,32394,18786,,1190,,,4112,,,,,,,,56664,75.09,17918,416,1950,781,3831,31080
Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,77129,55698,54957,72.21,71.25,Nagy István,Magyar Zoltán,Földesi András,Mácsik János,,Varga Renáta,Takács Miklós,,,,,,,,32549,16746,1663,729,,463,2807,,,,,,,,55094,71.43,17003,464,1844,691,3113,31420
Hajdú-Bihar megye 1. számú egyéni választókerület,Debrecen,66301,48311,47778,72.87,72.06,Kósa Lajos,Varga Zoltán,Petõ Csaba,Hermann Zoltán,Nagyné Németh Marietta,Pocsay Sándor,Salánkiné Kuti Zsuzsanna,,,,,,,,23385,18994,1681,678,128,,2912,,,,,,,,47883,72.22,18410,311,1850,609,2790,23853
Hajdú-Bihar megye 2. számú egyéni választókerület,Debrecen,72198,49583,48748,68.68,67.52,Pósán László,Mándi László,Radeczki Csongor,Baranyi Renáta,Huszti Andrea,Morán-Mihucza Szilvia,Farkas Tibor,,,,,,,,27111,19560,,,579,1498,,,,,,,,,49090,67.99,17586,477,1745,529,3120,25587
Hajdú-Bihar megye 3. számú egyéni választókerület,Debrecen,78335,50035,49233,63.87,62.85,Tasó László,Salamon Gergõ,,Hornyák Attila,Káposznyák István,Dobránszki László,Hunyadi Máté,Balogh Vanessza,,Nagy István,,,Rózsás Viola,,31266,13627,,602,128,358,3075,,,,,,177,,49481,63.17,13752,344,1162,485,2990,30732
Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,67955,42001,41206,61.81,60.64,Vitányi István,Szántai László,,Zelenák András,Kóti László,Farkas Antal,Somi Lajos,Mezei József,,Mohácsi József,,,,,25407,9483,,283,92,272,2270,3399,,,,,,,41484,61.05,9921,373,752,310,2650,27435
Hajdú-Bihar megye 5. számú egyéni választókerület,Hajdúszoboszló,69610,45119,44514,64.82,63.95,Bodó Sándor,Kiss László,,Tóth Ferencz,Sipos Sándor,Czifra Levente,Tóth Sándor,Nagy Lajos,,,,,,,26982,13697,,410,102,332,3159,,,,,,,,44604,64.08,12653,348,942,384,3367,26857
Hajdú-Bihar megye 6. számú egyéni választókerület,Hajdúböszörmény,69635,45369,44791,65.15,64.32,Tiba István,Hegedüs Péter,,Andorkó László,Dobány László,Vargáné Fülöp Erzsébet,Nagy Zoltán,,,,,,,,26062,13929,,641,187,468,3504,,,,,,,,44863,64.43,13318,458,1012,503,3402,26108
Heves megye 1. számú egyéni választókerület,Eger,81233,57616,56908,70.93,70.06,Pajtók Gábor,Berecz Mátyás,Vass Veronika,Kacsó Sándor,,Nagy Ágnes,Pápai Ákos,,,,,,,,29703,20772,1400,634,,454,3945,,,,,,,,57078,70.26,20303,405,1573,585,4010,30150
Heves megye 2. számú egyéni választókerület,Gyöngyös,76849,53270,52587,69.32,68.43,Horváth László,Dudás Róbert,Gergely Anna,Barna Richárd,Semegi Richárd,,Hajdara Roland,Érsek Zsolt,,,,,,,28878,19148,,505,,,3141,915,,,,,,,52610,68.46,18112,434,1293,502,3675,28439
Heves megye 3. számú egyéni választókerület,Hatvan,79655,53094,52259,66.65,65.61,Szabó Zsolt,Korózs Lajos,Komlósi Gábor,Antal Gergõ,Kovács Istvánné,Molnár Tibor,Gonda Ádám,,,,,,,,30863,15450,,952,248,,4746,,,,,,,,52409,65.79,15670,356,1193,491,4164,30527
Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Szolnok,77426,54064,53229,69.83,68.75,Kállai Mária,Sziráki Pál,Viczán Péter,Korpai Erika,Németh Attila,Varga Mónika,Vincze Béla,,,,,,,Csikós Attila,24972,20864,1545,650,296,460,3921,,,,,,,521,53329,68.88,21078,516,1723,652,4204,25140
Jász-Nagykun-Szolnok megye 2. számú egyéni választókerület,Jászberény,70852,47749,47173,67.39,66.58,Pócs János,Kertész Ottó,,Oszvald Nándor,Balogh Imre,Magda György,Dobrán Gyula,,,,,,,,28215,15915,,551,111,265,2116,,,,,,,,47200,66.62,14294,345,978,525,2855,28196
Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,75111,47417,46652,63.13,62.11,F. Kovács Sándor,Lukács László,,Halmi Bálint,Nagy József,Kovács Kinga,Somlay Róbert,,,,,,,,29923,13614,,468,221,,2426,,,,,,,,46786,62.29,12715,285,875,350,2745,29807
Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,73724,46625,45953,63.24,62.33,Herczeg Zsolt,Csányi Tamás,Farkas Attila,Szabó Róbert,Bencsik Mihály,Szegény János,Szabó Bettina,,,,,,,,23667,17047,936,,148,399,3756,,,,,,,,46089,62.52,15779,437,1156,319,4032,24356
Komárom-Esztergom megye 1. számú egyéni választókerület,Tatabánya,78608,55037,54457,70.01,69.28,Bencsik János,Konczer Erik,Börzsei Dávid,Popovics Judit,Jánoki Tibor,Keindl Tibor,Boda Bánk,,,,,,,,26240,22417,1429,891,252,372,2856,,,,,,,,54484,69.31,22363,477,1954,695,3326,25347
Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,81769,56364,55640,68.93,68.05,Erõs Gábor,Nunkovics Tibor,Stipits Zoltán,Banai Balázs,,Greiner Tamás,Lantos János,Deák Ferenc,,,,,,,27795,21587,1463,,,765,3047,983,,,,,,,55718,68.14,20303,586,2046,455,3703,27784
